,Week_Start,Week_End
0,2019-06-30 00:00:00,2019-07-06 23:59:59
1,2019-07-07 00:00:00,2019-07-13 23:59:59
2,2019-07-14 00:00:00,2019-07-20 23:59:59
3,2019-07-21 00:00:00,2019-07-27 23:59:59
4,2019-07-28 00:00:00,2019-08-03 23:59:59
5,2019-08-04 00:00:00,2019-08-10 23:59:59
6,2019-08-11 00:00:00,2019-08-17 23:59:59
7,2019-08-18 00:00:00,2019-08-24 23:59:59
8,2019-08-25 00:00:00,2019-08-31 23:59:59
9,2019-09-01 00:00:00,2019-09-07 23:59:59
10,2019-09-08 00:00:00,2019-09-14 23:59:59
11,2019-09-15 00:00:00,2019-09-21 23:59:59
12,2019-09-22 00:00:00,2019-09-28 23:59:59
13,2019-09-29 00:00:00,2019-10-05 23:59:59
22,2019-12-01 00:00:00,2019-12-07 23:59:59
23,2019-12-08 00:00:00,2019-12-14 23:59:59
24,2019-12-15 00:00:00,2019-12-21 23:59:59
25,2019-12-22 00:00:00,2019-12-28 23:59:59
27,2020-01-05 00:00:00,2020-01-11 23:59:59
28,2020-01-12 00:00:00,2020-01-18 23:59:59
29,2020-01-19 00:00:00,2020-01-25 23:59:59
30,2020-01-26 00:00:00,2020-02-01 23:59:59
31,2020-02-02 00:00:00,2020-02-08 23:59:59
32,2020-02-09 00:00:00,2020-02-15 23:59:59
33,2020-02-16 00:00:00,2020-02-22 23:59:59
34,2020-02-23 00:00:00,2020-02-29 23:59:59
35,2020-03-01 00:00:00,2020-03-07 23:59:59
36,2020-03-08 00:00:00,2020-03-14 23:59:59
37,2020-03-15 00:00:00,2020-03-21 23:59:59
55,2020-07-19 00:00:00,2020-07-25 23:59:59
56,2020-07-26 00:00:00,2020-08-01 23:59:59
57,2020-08-02 00:00:00,2020-08-08 23:59:59
58,2020-08-09 00:00:00,2020-08-15 23:59:59
60,2020-08-23 00:00:00,2020-08-29 23:59:59
61,2020-08-30 00:00:00,2020-09-05 23:59:59
62,2020-09-06 00:00:00,2020-09-12 23:59:59
63,2020-09-13 00:00:00,2020-09-19 23:59:59
64,2020-09-20 00:00:00,2020-09-26 23:59:59
65,2020-09-27 00:00:00,2020-10-03 23:59:59
